query_ts,assumedLPToken,equityValue,totalDexYield,,,,totalTradingfee,newTotalTradingFee,liquidity,totalVolume,volume,priceImpact,priceEffect,totalReturn,totalEquityVal,impermanentLoss,tokenPrice,quoteTokenPrice,rewardPrice
2021-06-25T10:00:00.000Z,0.026312135,1,0.0000146413832250045,,,,3.00341E-05,-8.60E-13,118023535.8,2085135.176,2085135.176,8.60E-13,8.60E-13,1.46414E-05,1.000014641,0,0.999555614,288.8833349,12.87241022
2021-06-25T12:00:00.000Z,0.026312135,1.001404679,0.0000439574143357344,,,,0.00011522,8.48982E-05,118106334.9,7991833.771,2911079.769,0.001319781,0.001319781,0.001448637,1.001448637,-5.99E-07,0.999780047,289.5813431,12.90221583
2021-06-25T14:00:00.000Z,0.026312135,1.001649986,0.0000723910799534386,,,,0.000225425,0.000195412,118722275.8,15670325.54,3672741.608,0.001454574,0.001454574,0.001722377,1.001722377,-1.51403E-06,0.999269164,289.8074024,12.77771116
2021-06-25T16:00:00.000Z,0.026312135,0.995498271,0.0000991214748848770,,,,0.000309979,0.000278605,118993050.7,21592580.34,3165596.922,-0.004780335,-0.004780335,-0.004402608,0.995597392,-8.62868E-06,0.998918516,286.3105071,12.53383023
2021-06-25T18:00:00.000Z,0.026312135,0.981768545,0.0001203480539484020,,,,0.000437862,0.000404294,120663138.1,30702820.09,3991260.832,-0.018635749,-0.018635749,-0.018111107,0.981888893,-0.00018971,1.000224215,278.0305725,11.94741208
2021-06-25T20:00:00.000Z,0.026312135,0.995556254,0.0001523372548525070,,,,0.000540144,0.000512989,123417446.5,38136140.75,4583711.708,-0.004956735,-0.004956735,-0.004291409,0.995708591,-1.34016E-05,0.999763701,285.9670636,12.44566955
2021-06-25T22:00:00.000Z,0.026312135,0.990170652,0.0001771235228065820,,,,0.000586322,0.000557958,122757336.8,41503617.36,1898762.69,-0.010387307,-0.010387307,-0.009652225,0.990347775,-6.91568E-05,1.000875282,282.5400398,12.3022745
2021-06-26T00:00:00.000Z,0.026312135,0.988282426,0.020251316866%,0.0000253896458553770,,,0.000635932,0.000604746,123209667,45133939.83,1750254.345,-0.01232232,-0.01232232,-0.011515061,0.988484939,-8.03974E-05,0.999837574,281.7283015,12.23834712
2021-06-26T02:00:00.000Z,0.026312135,0.989343689,0.0002297375349651480,,,,0.000694699,0.000664693,123317539.6,49444297.95,1708235.551,-0.011321004,-0.011321004,-0.010426574,0.989573426,-5.51806E-05,0.998676348,282.6280763,12.29739477
2021-06-26T04:00:00.000Z,0.026312135,0.99111017,0.0002563147954528850,,,,0.000740123,0.000711657,124725673.8,52798191.28,1607455.458,-0.009601486,-0.009601486,-0.008633515,0.991366485,-4.66824E-05,0.999570461,283.3583389,12.32290118
2021-06-26T06:00:00.000Z,0.026312135,0.997691764,0.0002863727253797810,,,,0.000771818,0.000747777,125538764.6,55144209.18,1396810.873,-0.003056014,-0.003056014,-0.002021864,0.997978136,-6.45525E-06,1.000087955,286.9675373,12.49157559
2021-06-26T08:00:00.000Z,0.026312135,0.967309296,0.0002918517787453730,,,,0.000850054,0.000802591,121616864.6,60943361.13,4371810.204,-0.033493295,-0.033493295,-0.032398852,0.967601148,-0.000600196,1.000143834,269.6973828,11.65459527
2021-06-26T10:00:00.000Z,0.026312135,0.975011605,0.0003262678770311070,,,,0.000957897,0.000916422,121680099.9,68860197.24,3053838.58,-0.025904817,-0.025904817,-0.024662127,0.975337873,-0.000340468,0.999407883,274.1507712,12.00881618
2021-06-26T12:00:00.000Z,0.026312135,0.984078287,0.0003577231162988350,,,,0.001009468,0.000979261,123627360.3,72671069.51,2158228.325,-0.016900974,-0.016900974,-0.01556399,0.98443601,-0.000148514,0.999745689,279.14795,12.20970197
2021-06-26T14:00:00.000Z,0.026312135,0.968890417,0.0003669314030570970,,,,0.001070032,0.001022254,121652993.5,77144199.64,2428925.15,-0.032131837,-0.032131837,-0.030742651,0.969257349,-0.000537073,0.999677687,270.5838437,11.6751017
2021-06-26T16:00:00.000Z,0.026312135,0.973056538,0.0003973910373437810,,,,0.001151968,0.001113383,122338305.8,83203695.6,2811092.574,-0.028056845,-0.028056845,-0.026546071,0.973453929,-0.000398697,0.999340624,272.9591397,11.84262798
2021-06-26T18:00:00.000Z,0.026312135,0.973031412,0.0004263551069623940,,,,0.001211604,0.001168142,122460640,87619356.95,1943507.694,-0.02813673,-0.02813673,-0.026542233,0.973457767,-0.000403758,0.999437125,272.8879204,11.94943127
2021-06-26T20:00:00.000Z,0.026312135,0.970999992,0.0004507229470101510,,,,0.00123933,0.001193586,122272376.7,89672964.85,720838.1199,-0.030193594,-0.030193594,-0.028549285,0.971450715,-0.000452961,0.999001435,271.8525658,11.9226202
2021-06-26T22:00:00.000Z,0.026312135,0.969818234,0.0004723119628928820,,,,0.001260619,0.001214525,122135717,91250090.9,790881.3877,-0.031396291,-0.031396291,-0.029709454,0.970290546,-0.000505416,0.999456215,271.0553188,11.82934113
2021-06-27T00:00:00.000Z,0.026312135,0.983759342,0.0005130757326659870,,,,0.001293399,0.001266767,125150117.6,93695622.05,1676345.347,-0.017507424,-0.017507424,-0.015727582,0.984272418,-0.000155608,0.999535581,278.8622633,12.20447839
2021-06-27T02:00:00.000Z,0.026312135,0.994156727,0.0005594900214920670,,,,0.001339163,0.001323665,126391866,97119656.53,1273724.416,-0.007166937,-0.007166937,-0.005283783,0.994716217,-4.01535E-05,1.001325212,284.2541165,12.67775532
2021-06-27T04:00:00.000Z,0.026312135,0.996360121,0.0005866546807477290,,,,0.001373776,0.001361156,126825691.4,99710126.27,1549258.822,-0.005001036,-0.005001036,-0.003053225,0.996946775,-1.5869E-05,1.000175627,285.8238349,12.68879071
2021-06-27T06:00:00.000Z,0.026312135,0.98440589,0.0005944333874035470,,,,0.001405501,0.001376827,126430943.9,102097558.4,1343004.223,-0.016970937,-0.016970937,-0.014999676,0.985000324,-0.000158344,1.000235864,278.9714401,12.30052528
2021-06-27T08:00:00.000Z,0.026312135,0.990495171,0.0006338151047478760,,,,0.00143094,0.001410253,127512030,104024452.2,856900.2356,-0.010915082,-0.010915082,-0.008871014,0.991128986,-6.60936E-05,1.000078018,282.4637557,12.57885524
2021-06-27T10:00:00.000Z,0.026312135,0.980946138,0.0006434866685611580,,,,0.001469145,0.001435318,123929408.3,106889117.7,1551958.862,-0.02048918,-0.02048918,-0.018410375,0.981589625,-0.000190873,0.998394682,277.4889336,12.26227487
2021-06-27T12:00:00.000Z,0.026312135,0.985463396,0.0006729088872956750,,,,0.001508311,0.001483022,124501369.7,109799774.8,1982302.799,-0.016019626,-0.016019626,-0.013863695,0.986136305,-0.000136072,0.999903896,279.60444,12.32562139
2021-06-27T14:00:00.000Z,0.026312135,0.980721911,0.0006938907938106760,,,,0.001543026,0.001507789,124493826.6,112391307.4,1408271.713,-0.020785878,-0.020785878,-0.018584198,0.981415802,-0.000201483,0.998627227,277.2562759,12.23745896
2021-06-27T16:00:00.000Z,0.026312135,0.980134578,0.0007127459135042200,,,,0.001582722,0.001546506,124498899.4,115356592.3,1068023.107,-0.021411928,-0.021411928,-0.019152676,0.980847324,-0.000230966,0.999405867,276.6861327,12.12466695
2021-06-27T18:00:00.000Z,0.026312135,0.974270858,0.0007347432810468200,,,,0.001627105,0.001581836,123487718.3,118664843,1503818.968,-0.027310978,-0.027310978,-0.024994398,0.975005602,-0.000397485,1.000064535,273.180348,12.06906309
2021-06-27T20:00:00.000Z,0.026312135,0.972309944,0.0007550820469979030,,,,0.001656762,0.001608029,123273325.2,120876295.6,896419.2721,-0.029298085,-0.029298085,-0.026934974,0.973065026,-0.000421164,0.998848298,272.396605,11.98883169
2021-06-27T22:00:00.000Z,0.026312135,0.972982684,0.0007821894543772370,,,,0.001677975,0.001632233,123441665.2,122459134.6,827002.4594,-0.028649548,-0.028649548,-0.026235126,0.973764874,-0.000414901,0.999299076,272.6376681,12.02110368
2021-06-28T00:00:00.000Z,0.026312135,1.004735771,0.0008738499662062770,,,,0.00173428,0.001741688,125449731.3,126635687.7,1811705.675,0.002994083,0.002994083,0.005609621,1.005609621,-1.95547E-06,1.000567672,290.3218526,13.00888195
2021-06-28T02:00:00.000Z,0.026312135,0.997906015,0.0008813105178504800,,,,0.001781444,0.001775899,125865031.4,130134788.2,1326557.668,-0.003869884,-0.003869884,-0.001212675,0.998787325,-8.23473E-06,0.99973643,286.5999261,12.71867829
