query_ts,assumedLPToken,equityValue,totalDexYield,,,totalTradingfee,newTotalTradingFee,liquidity,totalVolume,volume,priceImpact,priceEffect,totalReturn,totalEquityVal,impermanentLoss,tokenPrice,quoteTokenPrice,rewardPrice
2021-06-24T10:00:00.000Z,0.025662359,1,0.0000146843342875547,,,4.68681E-05,6.08E-13,124402802,3429716.428,3429716.428,-6.08E-13,-6.08E-13,1.46843E-05,1.000014684,0,1.001184591,303.7126469,13.6273628
2021-06-24T12:00:00.000Z,0.025662359,1.002257924,0.0000443428736229686,,,0.000140474,8.74357E-05,124464569.8,10266177.64,3324062.848,0.002170489,0.002170489,0.002302267,1.002302267,-6.02111E-06,0.999881834,305.4299176,13.71157818
2021-06-24T14:00:00.000Z,0.025662359,1.001492615,0.0000732238154853077,,,0.000217505,0.000166079,124377714.9,15893528.71,2219558.233,0.001326536,0.001326536,0.001565839,1.001565839,-1.30824E-06,1.000892389,304.6078548,13.57317807
2021-06-24T16:00:00.000Z,0.025662359,1.001119615,0.0001027420196354050,,,0.000302032,0.000248207,124390767.4,22070949.84,3320396.779,0.000871408,0.000871408,0.001222358,1.001222358,-6.47285E-06,0.998458086,305.0729919,13.62409475
2021-06-24T18:00:00.000Z,0.025662359,1.015529481,0.0001364255401011610,,,0.000369544,0.000319438,126224934.5,27006984.77,2261732.681,0.015210042,0.015210042,0.015665906,1.015665906,-0.000132768,0.999983223,313.3979348,14.07588839
2021-06-24T20:00:00.000Z,0.025662359,1.012686023,0.0001665889812101990,,,0.000419484,0.000370579,125791048.3,30656673.02,1509581.91,0.012315444,0.012315444,0.012852612,1.012852612,-0.000103987,0.999002659,311.9192046,14.05541207
2021-06-24T22:00:00.000Z,0.025662359,1.011665933,0.0001965191949274240,,,0.000456959,0.000405723,125685634.4,33395279.86,943038.1124,0.01126021,0.01126021,0.011862452,1.011862452,-9.76186E-05,0.998409142,311.4542948,14.02451482
2021-06-25T00:00:00.000Z,0.025662359,1.005576007,0.0002229711114929200,,,0.000490136,0.000436583,124966771.8,35819331.87,1198117.733,0.005139424,0.005139424,0.005798978,1.005798978,-3.08198E-05,0.998460144,307.6797507,13.7948516
2021-06-25T02:00:00.000Z,0.025662359,1.007144619,0.0002520392512628400,,,0.000567807,0.000516095,126130628,41542096.75,3246761.112,0.006628523,0.006628523,0.007396658,1.007396658,-3.13597E-05,0.999870886,308.1566721,13.77694892
2021-06-25T04:00:00.000Z,0.025662359,1.008468865,0.0002837911627517360,,,0.000674855,0.000620206,118264789.3,49133176.57,4343848.963,0.00784866,0.00784866,0.008752656,1.008752656,-4.15909E-05,0.999881352,308.900926,13.83804898
